GPU,m1n3,500,500,500,0.059093
GPU,m1n2,500,500,500,0.051061
GPU,m2n3,500,500,500,0.040162
GPU,m3n2,500,500,500,0.040086
GPU,m2n1,500,500,500,0.040206
GPU,m3n1,500,500,500,0.040160
OpenMP-32,m1n3,500,500,500,0.015709
OpenMP-32,m1n2,500,500,500,0.016028
OpenMP-32,m2n3,500,500,500,0.030456
OpenMP-32,m3n2,500,500,500,0.023884
OpenMP-32,m2n1,500,500,500,0.263780
OpenMP-32,m3n1,500,500,500,0.275490
GPU,m1n3,750,750,750,0.192673
GPU,m1n2,750,750,750,0.193706
GPU,m2n3,750,750,750,0.135230
GPU,m3n2,750,750,750,0.135020
GPU,m2n1,750,750,750,0.135574
GPU,m3n1,750,750,750,0.136177
OpenMP-32,m1n3,750,750,750,0.052191
OpenMP-32,m1n2,750,750,750,0.061378
OpenMP-32,m2n3,750,750,750,0.091666
OpenMP-32,m3n2,750,750,750,0.084150
OpenMP-32,m2n1,750,750,750,1.865047
OpenMP-32,m3n1,750,750,750,1.735585
GPU,m1n3,1000,1000,1000,0.424943
GPU,m1n2,1000,1000,1000,0.433590
GPU,m2n3,1000,1000,1000,0.321380
GPU,m3n2,1000,1000,1000,0.319665
GPU,m2n1,1000,1000,1000,0.320760
GPU,m3n1,1000,1000,1000,0.320511
OpenMP-32,m1n3,1000,1000,1000,0.123161
OpenMP-32,m1n2,1000,1000,1000,0.140763
OpenMP-32,m2n3,1000,1000,1000,0.160761
OpenMP-32,m3n2,1000,1000,1000,0.160009
OpenMP-32,m2n1,1000,1000,1000,2.599743
OpenMP-32,m3n1,1000,1000,1000,2.737317
GPU,m1n3,1250,1250,1250,0.890237
GPU,m1n2,1250,1250,1250,0.923527
GPU,m2n3,1250,1250,1250,0.626382
GPU,m3n2,1250,1250,1250,0.625765
GPU,m2n1,1250,1250,1250,0.627918
GPU,m3n1,1250,1250,1250,0.627185
OpenMP-32,m1n3,1250,1250,1250,0.243996
OpenMP-32,m1n2,1250,1250,1250,0.265711
OpenMP-32,m2n3,1250,1250,1250,0.402934
OpenMP-32,m3n2,1250,1250,1250,0.358880
OpenMP-32,m2n1,1250,1250,1250,3.646914
OpenMP-32,m3n1,1250,1250,1250,3.790080
GPU,m1n3,1500,1500,1500,1.542300
GPU,m1n2,1500,1500,1500,1.609120
GPU,m2n3,1500,1500,1500,1.080976
GPU,m3n2,1500,1500,1500,1.080731
GPU,m2n1,1500,1500,1500,1.084217
GPU,m3n1,1500,1500,1500,1.082992
OpenMP-32,m1n3,1500,1500,1500,0.444494
OpenMP-32,m1n2,1500,1500,1500,0.432706
OpenMP-32,m2n3,1500,1500,1500,0.552231
OpenMP-32,m3n2,1500,1500,1500,0.511445
OpenMP-32,m2n1,1500,1500,1500,4.318087
OpenMP-32,m3n1,1500,1500,1500,3.415046
GPU,m1n3,1750,1750,1750,2.451759
GPU,m1n2,1750,1750,1750,2.578244
GPU,m2n3,1750,1750,1750,1.722759
GPU,m3n2,1750,1750,1750,1.719521
GPU,m2n1,1750,1750,1750,1.724665
GPU,m3n1,1750,1750,1750,1.723865
GPU,m1n3,2000,2000,2000,3.410819
GPU,m1n2,2000,2000,2000,3.580169
GPU,m2n3,2000,2000,2000,3.487432
GPU,m3n2,2000,2000,2000,2.812373
GPU,m2n1,2000,2000,2000,2.870659
GPU,m3n1,2000,2000,2000,2.894112
Serial,m1n3,500,500,500,0.416113
Serial,m1n2,500,500,500,0.418541
Serial,m2n3,500,500,500,0.485397
Serial,m3n2,500,500,500,0.462117
Serial,m2n1,500,500,500,0.560190
Serial,m3n1,500,500,500,0.505785
Serial,m1n3,750,750,750,1.404698
Serial,m1n2,750,750,750,1.411426
Serial,m2n3,750,750,750,1.428379
Serial,m3n2,750,750,750,1.443861
Serial,m2n1,750,750,750,2.820675
Serial,m3n1,750,750,750,3.438179
Serial,m1n3,1000,1000,1000,3.329779
Serial,m1n2,1000,1000,1000,3.372320
Serial,m2n3,1000,1000,1000,3.372130
Serial,m3n2,1000,1000,1000,3.478001
Serial,m2n1,1000,1000,1000,6.840200
Serial,m3n1,1000,1000,1000,9.716042
OpenMP-1,m1n3,1000,1000,1000,3.314873
OpenMP-1,m1n2,1000,1000,1000,3.336264
OpenMP-1,m2n3,1000,1000,1000,3.414256
OpenMP-1,m3n2,1000,1000,1000,3.470980
OpenMP-1,m2n1,1000,1000,1000,7.012342
OpenMP-1,m3n1,1000,1000,1000,10.139561
OpenMP-2,m1n3,1000,1000,1000,1.656166
OpenMP-2,m1n2,1000,1000,1000,1.673906
OpenMP-2,m2n3,1000,1000,1000,1.704498
OpenMP-2,m3n2,1000,1000,1000,1.769441
OpenMP-2,m2n1,1000,1000,1000,4.312759
OpenMP-2,m3n1,1000,1000,1000,5.885248
OpenMP-4,m1n3,1000,1000,1000,0.831976
OpenMP-4,m1n2,1000,1000,1000,0.839754
OpenMP-4,m2n3,1000,1000,1000,0.882990
OpenMP-4,m3n2,1000,1000,1000,0.902221
OpenMP-4,m2n1,1000,1000,1000,3.402533
OpenMP-4,m3n1,1000,1000,1000,3.217924
OpenMP-8,m1n3,1000,1000,1000,0.422289
OpenMP-8,m1n2,1000,1000,1000,0.434613
OpenMP-8,m2n3,1000,1000,1000,0.532802
OpenMP-8,m3n2,1000,1000,1000,0.463383
OpenMP-8,m2n1,1000,1000,1000,3.642097
OpenMP-8,m3n1,1000,1000,1000,2.762751
OpenMP-16,m1n3,1000,1000,1000,0.214696
OpenMP-16,m1n2,1000,1000,1000,0.227143
OpenMP-16,m2n3,1000,1000,1000,0.292801
OpenMP-16,m3n2,1000,1000,1000,0.283837
OpenMP-16,m2n1,1000,1000,1000,2.680560
OpenMP-16,m3n1,1000,1000,1000,2.155132
Serial,m1n3,2000,2000,2000,27.567542
Serial,m1n2,2000,2000,2000,32.538732
Serial,m2n3,2000,2000,2000,28.865561
Serial,m3n2,2000,2000,2000,62.422889
Serial,m2n1,2000,2000,2000,48.141448
Serial,m3n1,2000,2000,2000,139.560551
OpenMP-32,m1n3,1500,1500,1500,0.633674
OpenMP-32,m1n2,1500,1500,1500,0.592860
OpenMP-32,m2n3,1500,1500,1500,0.636451
OpenMP-32,m3n2,1500,1500,1500,0.644756
OpenMP-32,m2n1,1500,1500,1500,8.012270
OpenMP-32,m3n1,1500,1500,1500,4.018425
